cohorte,ingresantes,observables,cobertura,titulacion_carrera,titulacion_universidad,titulacion_sistema
2007,123088,122849,0.998058,0.307874,0.427199,0.479247
2008,128642,128616,0.999798,0.329687,0.432497,0.482895
2009,137962,137962,1.0,0.389223,0.448283,0.498115
2010,147862,147816,0.999689,0.387597,0.443274,0.488817
2011,149954,149895,0.999607,0.377391,0.426305,0.479302
2012,150290,150262,0.999814,0.394218,0.439732,0.490497
2013,143917,143757,0.998888,0.380538,0.428362,0.471761
2014,139376,139311,0.999534,0.398203,0.441853,0.485712
2015,141102,141035,0.999525,0.41969,0.466969,0.516794
2016,145859,145727,0.999095,0.453114,0.492894,0.540346
2017,147300,144767,0.982804,0.461583,0.501578,0.545387
2018,146189,117946,0.806805,0.478677,0.504714,0.541816
