cohorte,titulacion_cohorte_n,titulacion_cohorte_cobertura,titulacion_cohorte_carrera,titulacion_cohorte_universidad,titulacion_cohorte_sistema,titulacion_cohorte_anios
2007,3672,1.0,0.390251,0.442538,0.466231,5.0
2008,4300,1.0,0.413721,0.48907,0.513721,4.0
2009,4890,1.0,0.435583,0.512679,0.543558,5.0
2010,5266,1.0,0.405431,0.533422,0.556779,5.0
2011,4728,1.0,0.464255,0.549915,0.578046,5.0
2012,5189,1.0,0.512237,0.533629,0.566198,5.0
2013,4020,1.0,0.499005,0.521891,0.552239,5.0
2014,3763,1.0,0.529631,0.546904,0.574807,5.0
2015,4228,1.0,0.586329,0.605487,0.640019,5.0
2016,5216,0.980267,0.575153,0.595667,0.622124,5.0
2017,5354,0.97951,0.599739,0.613934,0.646806,5.0
2018,4247,0.798008,,,,
