cohorte,n_ua,misma_carrera_ua,misma_universidad_ua,sistema_ua,sin_mrun_ua,con_cod_carrera_ua,retencion_misma_carrera_ua,retencion_misma_universidad_ua,retencion_sistema_ua,cobertura_cod_carrera_ua,n_sistema,misma_carrera_sistema,misma_universidad_sistema,sistema_sistema,sin_mrun_sistema,con_cod_carrera_sistema,retencion_misma_carrera_sistema,retencion_misma_universidad_sistema,retencion_sistema_sistema,cobertura_cod_carrera_sistema,brecha_carrera_pp,brecha_universidad_pp,carrera_comparable,cobertura_cod_carrera
2007,3671,2793,3092,3244,1,3375,0.7608281122309998,0.8422773086352493,0.8836829201852356,0.9193680196131844,127610,67950,97293,106803,39,95803,0.5324817804247316,0.7624245748765771,0.8369485150066609,0.7507483739518847,22.834633180626817,7.985273375867219,False,0.9193680196131844
2008,4299,3259,3594,3821,1,3958,0.7580832751802745,0.8360083740404746,0.8888113514770877,0.9206792277273784,132774,78202,100673,110688,80,108899,0.5889857954117523,0.7582282675825086,0.8336571919201048,0.8201831683914019,16.90974797685222,7.778010645796596,False,0.9206792277273784
2009,4890,4016,4152,4453,0,4837,0.8212678936605317,0.849079754601227,0.9106339468302659,0.9891615541922291,142252,101962,111009,121724,50,139015,0.7167702387312657,0.7803686415656722,0.8556927143379355,0.9772446081601665,10.449765492926598,6.871111303555477,True,0.9891615541922291
2010,5407,4451,4620,4917,4,5271,0.8231921583132976,0.8544479378583318,0.9093767338635103,0.9748474200110967,150445,110866,119160,129939,42,147781,0.7369204692744857,0.792050250922264,0.8636976968327296,0.982292532154608,8.627168903881188,6.239768693606784,True,0.9748474200110967
2011,4776,3908,3991,4308,6,4776,0.8182579564489112,0.8356365159128978,0.9020100502512562,1.0,153179,109623,117552,131381,43,150387,0.7156529289262888,0.7674158990462139,0.8576958982628167,0.9817729584342502,10.260502752262235,6.82206168666839,True,1.0
2012,5184,4137,4280,4701,5,5184,0.7980324074074074,0.8256172839506173,0.9068287037037037,1.0,152534,106988,116016,131474,55,150856,0.7014042770792086,0.7605910813326865,0.8619324216240314,0.9889991739546593,9.662813032819884,6.50262026179308,True,1.0
2013,4019,3168,3274,3618,1,3987,0.7882557850211496,0.8146305051007713,0.9002239363025628,0.9920378203533218,147935,104725,112612,126633,53,146558,0.7079122587622942,0.7612262142157028,0.8560043262243553,0.9906918579105688,8.034352625885532,5.340429088506848,True,0.9920378203533218
2014,3793,3064,3170,3431,5,3793,0.8078038491958872,0.8357500659108885,0.9045610334827313,1.0,143895,104737,111111,123804,36,142686,0.7278710170610515,0.7721672052538309,0.8603773584905661,0.9915980402376733,7.99328321348357,6.358286065705765,True,1.0
2015,4228,3535,3610,3898,0,4228,0.8360927152317881,0.8538315988647115,0.9219489120151372,1.0,146436,106502,113429,126302,63,145567,0.727293834849354,0.7745977765030457,0.8625064874757573,0.9940656669125079,10.879888038243413,7.923382236166576,True,1.0
2016,5389,4678,4737,5023,1,5354,0.8680645759881239,0.8790128038597143,0.9320838745592874,0.9935052885507515,151012,111564,118813,131614,59,149824,0.7387757264323365,0.786778534156226,0.8715466320557307,0.9921330755171774,12.928884955578745,9.223426970348825,True,0.9935052885507515
2017,5498,4788,4875,5189,0,5466,0.8708621316842489,0.8866860676609676,0.9437977446344125,0.9941797017097126,153555,114426,121115,133547,65,152863,0.7451792517339064,0.78874019081111,0.8697014099182703,0.9954934713946143,12.568287995034243,9.794587684985757,True,0.9941797017097126
2018,5322,4708,4802,5082,0,5322,0.884629838406614,0.9022923712889891,0.9549041713641488,1.0,153228,115467,121317,134124,93,153228,0.7535633174093508,0.7917417182238233,0.8753230480068916,1.0,13.106652099726324,11.055065306516576,True,1.0
2019,5490,4765,4861,5195,0,5490,0.8679417122040073,0.8854280510018215,0.9462659380692168,1.0,146428,111245,116482,127535,130,146428,0.7597249159996722,0.7954899336192531,0.8709741306307537,1.0,10.82167962043351,8.993811738256841,True,1.0
2020,5702,5076,5167,5409,0,5702,0.8902139600140302,0.9061732725359523,0.9486145212206244,1.0,135958,110591,115065,122226,75,135958,0.8134203209814795,0.8463275423292488,0.8989982200385414,1.0,7.679363903255066,5.984573020670347,True,1.0
2021,5829,5038,5142,5417,0,5829,0.8642991936867387,0.8821410190427175,0.9293189226282381,1.0,136510,108666,113041,121346,60,136510,0.7960295949014724,0.8280785290454912,0.8889165628891657,1.0,6.826959878526628,5.40624899972263,True,1.0
2022,5933,4980,5060,5433,0,5933,0.8393729984830608,0.8528569020731501,0.9157256025619417,1.0,126562,100165,104366,113813,66,126562,0.7914302871319986,0.8246235046854506,0.8992667625353582,1.0,4.794271135106221,2.8233397387699477,True,1.0
2023,6193,5134,5284,5659,0,6193,0.8290004844178912,0.8532213789762635,0.9137736153721944,1.0,143366,115113,119986,130711,63,143366,0.8029309599207622,0.8369208877976647,0.9117294198066487,1.0,2.606952449712896,1.6300491178598775,True,1.0
2024,6475,5558,5700,6069,0,6475,0.8583783783783784,0.8803088803088803,0.9372972972972973,1.0,146916,120233,124857,135258,78,146916,0.8183792098886439,0.8498529772114678,0.920648533856081,1.0,3.9999168489734505,3.045590309741253,True,1.0
2025,6662,5722,5883,6242,0,6662,0.8589012308616031,0.8830681477033924,0.9369558691083759,1.0,152401,125152,130370,140519,75,152401,0.8212019606170563,0.8554405810985493,0.9220346323186855,1.0,3.769927024454678,2.7627566604843112,True,1.0
